sep=;

"ProReason_Id";"tag_type";"Path_type";"tag_reason";"Path_reason";"Project_id";"tag_image";"Path_ChannelTag";"Channel_Name";"Path_SysVideo"
"174";"IT";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\IT";"D";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\D";"177";"00026.jpg,00027.jpg,00028.jpg,00029.jpg,00030.jpg";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\D\Channel_3";"Channel_3";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177"
"175";"IT";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\IT";"Computer Not Start";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\Computer Not Start";"177";"00003.jpg,00004.jpg,00005.jpg,00006.jpg,00007.jpg";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\Computer Not Start\Channel_1";"Channel_1";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177"
"176";"IT";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\IT";"Computer Not Start";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\Computer Not Start";"177";"00003.jpg,00004.jpg,00005.jpg,00006.jpg,00007.jpg";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\Computer Not Start\Channel_3";"Channel_3";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177"
"177";"IT";"C:\Users\konsultera\Desktop\181\User_SnapShot\IT";"Cleanning Issues";"C:\Users\konsultera\Desktop\181\User_SnapShot\Cleanning Issues";"181";"00500.jpg,00501.jpg,00502.jpg,00503.jpg,00504.jpg";"C:\Users\konsultera\Desktop\181\User_SnapShot\Cleanning Issues\Channel_1";"Channel_1";"C:\Users\konsultera\Desktop\181"
"178";"IT";"C:\Users\konsultera\Desktop\181\User_SnapShot\IT";"Computer Not Start";"C:\Users\konsultera\Desktop\181\User_SnapShot\Computer Not Start";"181";"00173.jpg,00174.jpg,00175.jpg,00176.jpg,00177.jpg";"C:\Users\konsultera\Desktop\181\User_SnapShot\Computer Not Start\Channel_1";"Channel_1";"C:\Users\konsultera\Desktop\181"
"179";"IT";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\IT";"A";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\A";"177";"00005.jpg,00006.jpg,00007.jpg,00008.jpg,00009.jpg";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\A\Channel_1";"Channel_1";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177"
"180";"IT";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\IT";"Cleanning Issues";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\Cleanning Issues";"177";"00006.jpg,00007.jpg,00008.jpg,00009.jpg,00010.jpg";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\Cleanning Issues\Channel_1";"Channel_1";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177"
"181";"IT";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\IT";"A";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\A";"177";"00001.jpg,00002.jpg,00003.jpg,00004.jpg,00005.jpg";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\A\Channel_3";"Channel_3";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177"
"182";"WareHouse";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\184\User_SnapShot\WareHouse";"Cleanning Issues";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\184\User_SnapShot\Cleanning Issues";"184";"00048.jpg,00049.jpg,00050.jpg,00051.jpg,00052.jpg";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\184\User_SnapShot\Cleanning Issues\Channel_1";"Channel_1";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\184"
"183";"WareHouse";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\184\User_SnapShot\WareHouse";"Computer Not Start";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\184\User_SnapShot\Computer Not Start";"184";"00094.jpg,00095.jpg,00096.jpg,00097.jpg,00098.jpg";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\184\User_SnapShot\Computer Not Start\Channel_1";"Channel_1";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\184"
"184";"WareHouse";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\186\User_SnapShot\WareHouse";"Not Wearing Id";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\186\User_SnapShot\Not Wearing Id";"186";"00034.jpg,00035.jpg,00036.jpg,00037.jpg,00038.jpg";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\186\User_SnapShot\Not Wearing Id\Channel_1";"Channel_1";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\186"
"185";"WareHouse";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\186-BB1\User_SnapShot\WareHouse";"Cleanning Issues";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\186-BB1\User_SnapShot\Cleanning Issues";"186";"00022.jpg,00023.jpg,00024.jpg,00025.jpg,00026.jpg";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\186-BB1\User_SnapShot\Cleanning Issues\Channel_1";"Channel_1";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\186-BB1"
"186";"WareHouse";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\186-BB1\User_SnapShot\WareHouse";"Foot Print";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\186-BB1\User_SnapShot\Foot Print";"186";"00160.jpg,00161.jpg,00162.jpg,00163.jpg,00164.jpg";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\186-BB1\User_SnapShot\Foot Print\Channel_1";"Channel_1";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\186-BB1"
"187";"WareHouse";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\187-GKP - 1234\User_SnapShot\WareHouse";"Cleanning Issues";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\187-GKP - 1234\User_SnapShot\Cleanning Issues";"187";"00004.jpg,00005.jpg,00006.jpg,00007.jpg,00008.jpg";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\187-GKP - 1234\User_SnapShot\Cleanning Issues\Channel_1";"Channel_1";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\187-GKP - 1234"
"188";"WareHouse";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\187-GKP - 1234\User_SnapShot\WareHouse";"Cleanning Issues";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\187-GKP - 1234\User_SnapShot\Cleanning Issues";"187";"00004.jpg,00005.jpg,00006.jpg,00007.jpg,00008.jpg";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\187-GKP - 1234\User_SnapShot\Cleanning Issues\Channel_2";"Channel_2";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\187-GKP - 1234"
"189";"WareHouse";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\187-GKP - 1234\User_SnapShot\WareHouse";"Cleanning Issues";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\187-GKP - 1234\User_SnapShot\Cleanning Issues";"187";"00004.jpg,00005.jpg,00006.jpg,00007.jpg,00008.jpg";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\187-GKP - 1234\User_SnapShot\Cleanning Issues\Channel_3";"Channel_3";"C:\_Gaurav\C#\ImageScroller\MySql\Acti Audit\Testing Video\187-GKP - 1234"
